mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2921690940856934,0.09266330007817705,0.04774541854858398,0.007756783765061645,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8642960431712794,0.8524873572132552,0.8524611022248073,0.825172071155058,0.8206658227950485,0.8430164793118898,0.0170275836068248,40
1.703477430343628,0.10745312665030261,0.07190799713134766,0.005991706070770798,5,2,5,300,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.8646171618761412,0.8520793950850662,0.8531720065273941,0.8253336403147368,0.8204535068527498,0.8431311421312178,0.017167209708968796,39
1.1996114730834961,0.058158249048270515,0.03514847755432129,0.005941896900402522,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.871510106150938,0.8622380559998707,0.8625248412583009,0.834312846363886,0.8320297808495064,0.8525231261245004,0.016164844992423266,20
2.2574285507202148,0.11541244556758817,0.06097807884216309,0.010398143363402237,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.869591472379752,0.862480409739389,0.8631186079201202,0.8351994571276236,0.8317163620775417,0.8524212618488853,0.015720809338731455,21
3.3459588527679442,0.209368263695952,0.0890289306640625,0.0030241287478915023,10,1,2,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8699307676150777,0.861684681627971,0.8625167628003166,0.8366293441907809,0.8320034941137932,0.8525530100695878,0.01523480221254256,19
1.1099105834960938,0.060124358091554135,0.030707550048828126,0.0064905889006639916,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8713222820028115,0.8617856623527701,0.8631913140419757,0.8354599873976056,0.8320762881511528,0.8527671067892632,0.015886719775065648,16
2.105735969543457,0.11193628096611644,0.0573880672454834,0.010005568867847047,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8700418464123567,0.8621895852519671,0.8619997414893444,0.8344925920540286,0.8317163620775418,0.8520880254570479,0.015793842201177608,24
3.19613037109375,0.15255175576091243,0.07969098091125489,0.005512178408741077,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8708860452716785,0.8606546782350185,0.8617129562309147,0.8347430242515308,0.8323431996214711,0.8520679807221228,0.015556976482022101,25
0.9367068767547607,0.060251195886386014,0.03208136558532715,0.0035602906060853805,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8668912477986201,0.8576494918649928,0.8601659315269903,0.8304331669170988,0.8320702219813729,0.849442012017815,0.01516546264080646,34
1.8807607650756837,0.12683012023349405,0.0570526123046875,0.0064849217530946685,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8684301940445608,0.8588733782495597,0.8591278496760538,0.8334666278900684,0.8308023924973612,0.8501400884715208,0.015123021768417382,33
2.815318965911865,0.20190225367230466,0.08772463798522949,0.005758138967799003,10,2,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.8690441568513403,0.8596933417349297,0.8596569886740018,0.8332727448984537,0.8309075394402138,0.8505149543197879,0.015446005555613644,30
0.9371744155883789,0.08558977924652075,0.03236684799194336,0.005092044148938075,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8686402339521433,0.860315382999693,0.8608727966005848,0.8300393420903818,0.8321996336033451,0.8504134778492295,0.016040631175359817,31
1.8863677978515625,0.09562255562669847,0.05624094009399414,0.0035676476423856162,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8692380398429548,0.8608929927455446,0.8593136542096845,0.8320084662239673,0.8317163620775418,0.8506339030199385,0.01569382783639108,29
2.846610927581787,0.129757607393861,0.07573986053466797,0.009862069398786038,10,2,5,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.8705831030972808,0.8605213836782835,0.859507537201299,0.8325456836798992,0.8314696711731567,0.8509254757659838,0.015927966781224673,28
3.1252676486968993,0.17917319841796397,0.03831725120544434,0.008138264905509271,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.866511560273375,0.860848561226633,0.8639708852374259,0.84078975005251,0.8350729760224529,0.8534387465624793,0.012915327305053577,9
6.0957300662994385,0.6141002250687234,0.08686966896057129,0.008048328200620784,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8703730631896983,0.8640072382983535,0.8642172782059361,0.8427568545715993,0.8365490773355765,0.8555807023202326,0.013349642035270417,4
9.272062683105469,0.8728243706552778,0.12761263847351073,0.0110862563384525,20,1,2,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8717867933368878,0.8647464172038841,0.8636113938571406,0.8428537960674066,0.836880694616881,0.85597581901644,0.013579569704412514,3
2.704640007019043,0.3224062646227605,0.04808087348937988,0.0037857246627877577,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8712455366519638,0.8611474641720389,0.8620280160922883,0.843491994248138,0.8354167256433173,0.8546659473615493,0.013164214083172462,5
5.184960222244262,0.49059181691318837,0.08714990615844727,0.014146825599577986,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8717262049020084,0.8628277834326984,0.863829512222707,0.8457943547735609,0.8372608412564251,0.8562877393174799,0.012728948929114461,1
8.046506881713867,0.6324440572519383,0.12749896049499512,0.014380307764600636,20,1,5,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8727642867529446,0.8627995088297546,0.8640072382983536,0.8447845475255683,0.836913047522374,0.856253725785799,0.013275290889807091,2
